Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jake Killingsworth\jake-killingsworth-1,17,17,473,15.2,.601,.591,.755,.173,140,3.8,12.2,8.0,11.5,1.2,1.1,7.0,14.3,,1.0,0.4,1.5,.124,,1.5,-1.6,-0.1
2,Toni Rocak\toni-rocak-1,17,1,333,26.5,.564,.541,.184,.468,206,11.2,21.2,16.2,14.8,3.4,2.7,15.3,36.2,,0.8,0.6,1.4,.164,,1.2,-1.8,-0.6
3,Gabe Hadley\gabe-hadley-1,17,17,505,15.7,.632,.620,.667,.160,181,0.7,14.0,7.4,14.4,2.0,0.2,18.2,20.7,,0.7,0.6,1.3,.103,,-0.2,-1.9,-2.1
4,Hugh Baxter\hugh-baxter-1,17,16,362,17.9,.626,.622,.618,.076,149,3.3,13.2,8.3,15.3,1.7,1.1,14.5,23.2,,0.7,0.4,1.1,.125,,2.1,-1.3,0.8
5,Mikey Howell\mikey-howell-1,16,16,479,13.6,.499,.469,.385,.333,164,2.5,9.5,6.0,35.1,3.7,0.4,28.8,17.2,,0.5,0.6,1.1,.094,,-1.8,-0.7,-2.5
6,Bryce Pope\bryce-pope-1,15,15,396,11.2,.563,.567,.500,.048,118,0.9,9.7,5.3,6.0,0.4,0.0,11.0,19.3,,0.3,0.2,0.5,.051,,0.0,-3.0,-3.1
7,Kaden Rasheed\kaden-rasheed-1,14,0,167,9.5,.603,.569,.655,.241,35,0.0,13.6,6.8,7.2,1.4,1.2,17.8,12.4,,0.1,0.2,0.3,.069,,-1.2,-1.3,-2.5
8,Jace Roquemore\jace-roquemore-1,17,2,376,7.2,.446,.443,.271,.257,90,0.6,14.7,7.7,21.7,1.4,1.1,28.3,15.4,,-0.2,0.4,0.2,.021,,-4.7,-1.7,-6.3
9,Martin Tombe\martin-tombe-1,8,1,62,18.7,.696,.696,.826,.000,22,1.9,7.7,4.8,3.4,1.8,0.0,11.5,22.2,,0.1,0.1,0.2,.108,,3.0,0.5,3.5
10,Matt Gray\matt-gray-2,11,0,89,14.8,.452,.426,.706,.294,36,5.4,17.5,11.4,12.7,1.3,9.0,13.4,26.6,,0.0,0.1,0.1,.059,,2.8,0.9,3.7
11,Jake Kosakowski\jake-kosakowski-1,8,0,67,7.8,.478,.452,.810,.095,20,3.6,17.9,10.7,5.4,0.0,0.0,12.0,19.7,,0.0,0.1,0.1,.032,,9.7,0.5,10.2
12,Justin Pratt\justin-pratt-1,6,0,34,13.1,.500,.500,.500,.000,10,3.5,21.1,12.3,11.0,1.7,0.0,9.1,17.1,,0.0,0.0,0.1,.083,,-6.6,1.6,-5.1
13,Trace Ramsey\trace-ramsey-1,6,0,42,3.1,.500,.500,.300,.000,8,0.0,8.6,4.3,4.5,2.7,2.4,23.1,16.4,,0.0,0.1,0.0,.005,,-20.3,0.4,-20.0
14,Lunden Taylor\lunden-taylor-1,7,0,40,10.6,.407,.400,.200,1.000,10,3.0,9.0,6.0,29.0,4.3,2.5,35.2,15.0,,0.0,0.1,0.0,.049,,0.8,-1.1,-0.3
