Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toni Rocak\toni-rocak-1,17,1,19.6,4.8,9.3,.519,4.4,7.6,.581,0.4,1.7,.241,2.8,4.4,.635,1.8,3.5,5.3,1.2,1.2,0.5,2.1,2.5,12.8
2,Gabe Hadley\gabe-hadley-1,17,17,29.7,4.2,8.8,.480,1.8,2.9,.600,2.5,5.9,.420,1.1,1.4,.750,0.2,3.5,3.6,2.2,1.1,0.1,2.1,1.6,12.0
3,Hugh Baxter\hugh-baxter-1,17,16,21.3,3.9,7.7,.504,2.1,2.9,.700,1.8,4.8,.383,0.4,0.6,.700,0.6,2.4,2.9,1.5,0.6,0.2,1.4,2.8,10.0
4,Bryce Pope\bryce-pope-1,15,15,26.4,3.9,8.4,.468,2.3,4.2,.540,1.7,4.2,.397,0.1,0.4,.333,0.2,2.1,2.3,0.8,0.2,0.0,1.1,0.7,9.7
5,Jake Killingsworth\jake-killingsworth-1,17,17,27.8,2.8,6.5,.436,0.8,1.6,.519,2.0,4.9,.410,0.8,1.1,.684,0.9,2.8,3.7,1.8,0.6,0.3,0.5,0.9,8.4
6,Mikey Howell\mikey-howell-1,16,16,29.9,2.4,6.0,.406,1.7,3.7,.458,0.8,2.3,.324,1.3,2.0,.656,0.6,2.4,3.0,6.0,1.9,0.1,2.8,1.9,6.9
7,Jace Roquemore\jace-roquemore-1,17,2,22.1,1.7,4.1,.414,1.5,3.0,.490,0.2,1.1,.211,0.5,1.1,.444,0.1,2.7,2.8,2.8,0.5,0.2,1.8,0.9,4.1
8,Martin Tombe\martin-tombe-1,8,1,7.8,1.4,2.9,.478,0.1,0.5,.250,1.3,2.4,.526,0.0,0.0,,0.1,0.5,0.6,0.1,0.3,0.0,0.4,0.5,4.0
9,Matt Gray\matt-gray-2,11,0,8.1,1.0,3.1,.324,0.4,0.9,.400,0.6,2.2,.292,0.5,0.9,.600,0.4,1.2,1.5,0.5,0.2,0.7,0.5,0.6,3.2
10,Kaden Rasheed\kaden-rasheed-1,14,0,11.9,0.9,2.1,.414,0.2,0.7,.300,0.6,1.4,.474,0.4,0.5,.857,0.0,1.4,1.4,0.5,0.3,0.1,0.5,0.6,2.8
11,Jake Kosakowski\jake-kosakowski-1,8,0,8.4,0.9,2.6,.333,0.3,0.5,.500,0.6,2.1,.294,0.3,0.3,1.000,0.3,1.3,1.5,0.3,0.0,0.0,0.4,0.6,2.6
12,Justin Pratt\justin-pratt-1,6,0,5.7,0.7,1.7,.400,0.3,0.8,.400,0.3,0.8,.400,0.0,0.0,,0.2,1.0,1.2,0.3,0.2,0.0,0.2,0.2,1.7
13,Trace Ramsey\trace-ramsey-1,6,0,7.0,0.8,1.7,.500,0.8,1.2,.714,0.0,0.5,.000,0.0,0.0,,0.0,0.5,0.5,0.2,0.3,0.2,0.5,2.0,1.7
14,Lunden Taylor\lunden-taylor-1,7,0,5.7,0.3,0.7,.400,0.3,0.6,.500,0.0,0.1,.000,0.3,0.7,.400,0.1,0.4,0.6,1.0,0.4,0.1,0.6,0.3,0.9
